PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Other,MAGNOLIA / QUEEN ANNE,1928,1.0,1,60696,0,60696,Other,,8.100000381,875943.0,0.0
Other,MAGNOLIA / QUEEN ANNE,1928,1.0,2,262048,0,262048,Other,,70.0,13512686.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1986,0.0,2,66240,2352,63888,Office,Data Center,74.90000153,4166305.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,2010,1.0,6,920598,303707,616891,Office,Parking,49.79999924,27597261.0,9069780.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1970,1.0,4,76213,25930,50283,Office,Parking,68.19999695,2944692.0,531520.0
Hotel,MAGNOLIA / QUEEN ANNE,2002,1.0,6,96910,36934,59976,Hotel,Parking,86.0,2637011.0,2518558.0
Hotel,NORTHEAST,1962,2.0,4,50017,0,50017,Hotel,Swimming Pool,108.9000015,2128306.0,3320669.0
K-12 School,DELRIDGE,1999,1.0,3,74468,0,74468,K-12 School,,0.0,1698176.0,0.0
K-12 School,EAST,1923,1.0,3,67743,0,67743,K-12 School,,39.09999847,1337786.0,1309093.0
K-12 School,EAST,1908,1.0,6,194104,0,194104,K-12 School,,32.0,1887893.0,4331949.0
Small- and Mid-Sized Office,SOUTHEAST,2003,1.0,3,99433,35752,63681,Office,Parking,76.90000153,4897760.0,0.0
K-12 School,SOUTHEAST,1991,1.0,2,58933,0,58933,K-12 School,,0.0,2347138.0,0.0
K-12 School,GREATER DUWAMISH,1957,1.0,1,130862,0,130862,K-12 School,,48.0,2262820.0,4193207.0
K-12 School,SOUTHEAST,1989,1.0,3,59955,0,59955,K-12 School,,27.20000076,1436416.0,196983.0
K-12 School,MAGNOLIA / QUEEN ANNE,1964,1.0,2,93218,0,93218,K-12 School,,31.0,1486758.0,1400634.0
Other,NORTHEAST,1941,1.0,4,56521,0,56521,Other,,129.6999969,6357631.0,0.0
Other,NORTHEAST,1929,1.0,2,206934,0,206934,Other,Parking,35.70000076,2001103.0,2252474.0
Hotel,NORTHWEST,2001,1.0,4,51390,0,51390,Hotel,Parking,70.30000305,1398289.0,2213249.0
K-12 School,NORTHWEST,1963,1.0,2,131013,0,131013,K-12 School,,29.5,1775488.0,2119097.0
K-12 School,NORTHWEST,1959,1.0,1,245587,0,245587,K-12 School,,47.90000153,3926011.0,7839670.0
Hotel,NORTHWEST,2002,1.0,3,69138,0,69138,Hotel,,45.90000153,1802889.0,1439568.0
K-12 School,LAKE UNION,1991,1.0,3,66588,0,66588,K-12 School,,0.0,2104286.0,0.0
Hotel,DOWNTOWN,1904,1.0,5,190980,0,190980,Hotel,Parking,34.09999847,4402910.0,2103084.0
Other,DOWNTOWN,1998,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,,77.19999695,9803021.0,527343.0
Hospital,BALLARD,1954,4.0,5,285333,0,285333,Hospital (General Medical & Surgical),Parking,225.0,35237205.0,32853512.0
K-12 School,Ballard,1991,1.0,2,55513,0,55513,K-12 School,,25.60000038,1513571.0,0.0
Other,DOWNTOWN,2006,1.0,4,61156,0,61156,Other,Office,130.1000061,6947270.0,2416104.0
Other,DOWNTOWN,1910,1.0,4,72820,13820,59000,Museum,,34.70000076,1311669.0,698785.0
Hotel,MAGNOLIA / QUEEN ANNE,1996,1.0,4,162222,14200,148022,Hotel,Parking,69.90000153,4197462.0,3749499.0
K-12 School,SOUTHEAST,1990,1.0,4,289588,0,289588,K-12 School,,30.5,6449764.0,2370086.0
University,EAST,1915,1.0,3,63330,0,63330,College/University,,47.20000076,1911064.0,1148694.0
University,DELRIDGE,1970,27.0,2,441071,0,441071,College/University,,79.30000305,25314575.0,12987166.0
Small- and Mid-Sized Office,NORTHEAST,2002,1.0,2,96300,0,96300,Office,Data Center,167.8000031,13973696.0,2346137.0
Other,GREATER DUWAMISH,1950,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,109.4000015,4182001.0,3293576.0
K-12 School,CENTRAL,2008,1.0,3,254523,0,254523,K-12 School,,53.29999924,7835065.0,5732708.0
K-12 School,SOUTHEAST,2001,1.0,3,78804,0,78804,K-12 School,,31.70000076,1645214.0,853926.0
K-12 School,CENTRAL,2002,1.0,3,66994,0,66994,K-12 School,,35.40000153,1824845.0,546459.0
K-12 School,GREATER DUWAMISH,2000,1.0,3,98357,0,98357,K-12 School,,35.09999847,1927067.0,1529064.0
